18:40:25.597 |I| Core                           | RequestBuilder thread:8        | MsBuild process with Id = 117548
18:40:25.599 |I| Core                           | RequestBuilder thread:8        | MsBuild location = E:\Dev_Work\VS2022\MSBuild\Current\Bin\amd64\MSBuild.exe
18:40:25.599 |I| Core                           | RequestBuilder thread:8        | ServerGC = False
18:40:25.599 |I| Core                           | RequestBuilder thread:8        | 
18:40:25.599 |I| Core                           | RequestBuilder thread:8        | Start ControllerTask...
18:40:25.601 |I| Core                           | RequestBuilder thread:8        | Detected version: 17.9
18:40:25.604 |I| Core                           | RequestBuilder thread:8        | Creating SocketWire with port = 57463
18:40:25.634 |I| Core                           | RequestBuilder thread:8        | Create protocol...
18:40:25.702 |I| Core                           | RequestBuilder thread:8        | Create MsBuildModel and advise for new sessions...
18:40:25.739 |I| Core                           | RequestBuilder thread:8        | Subscribe for changes...
18:40:25.740 |I| Core                           | RequestBuilder thread:8        | Setup process watchdog...
18:40:25.744 |I| Core                           | RequestBuilder thread:8        | Run dispatcher...
18:40:25.748 |I| ProcessWatchdog                | WatchParentPid:124860:12       | Monitoring parent process PID:124860
18:40:25.813 |I| Core                           | RequestBuilder thread:8        | Get protocol session 'RdProjectModelSession'
18:40:25.819 |I| Core                           | RequestBuilder thread:8        | Msbuild session 'ProjectModelSessionHost' created
18:40:25.891 |I| ProjectModel                   | RequestBuilder thread:8        | Reloading 8 project(s) in 6 node(s)...
18:40:25.892 |I| ProjectModel                   | RequestBuilder thread:8        | Reason: WarmStartup
18:40:25.897 |I| Build                          | MSBuild LoggingService events queue pump: 30619839:14 | 빌드를 시작했습니다.
18:40:25.902 |I| BuildQueue                     | RequestBuilder thread:8        | Build queue: False
18:40:26.093 |I| ProjectModel                   | RequestBuilder thread:8        | Project 'CodeStage.Maintainer.Editor.csproj' has load-time sensitive targets: XamlMarkupCompilePass1
18:40:26.099 |I| BuildQueue                     | RequestBuilder thread:8        | Build immediately: CodeStage.Maintainer.Editor.csproj
18:40:26.102 |I| Build                          | RequestBuilder thread:8        | Start build 'CodeStage.Maintainer.Editor.csproj' with 1 target frameworks
