18:03:32.831 |I| Core                           | RequestBuilder thread:8        | MsBuild process with Id = 93928
18:03:32.832 |I| Core                           | RequestBuilder thread:8        | MsBuild location = E:\Dev_Work\VS2022\MSBuild\Current\Bin\amd64\MSBuild.exe
18:03:32.832 |I| Core                           | RequestBuilder thread:8        | ServerGC = False
18:03:32.832 |I| Core                           | RequestBuilder thread:8        | 
18:03:32.832 |I| Core                           | RequestBuilder thread:8        | Start ControllerTask...
18:03:32.834 |I| Core                           | RequestBuilder thread:8        | Detected version: 17.9
18:03:32.835 |I| Core                           | RequestBuilder thread:8        | Creating SocketWire with port = 61646
18:03:32.858 |I| Core                           | RequestBuilder thread:8        | Create protocol...
18:03:32.920 |I| Core                           | RequestBuilder thread:8        | Create MsBuildModel and advise for new sessions...
18:03:32.955 |I| Core                           | RequestBuilder thread:8        | Subscribe for changes...
18:03:32.956 |I| Core                           | RequestBuilder thread:8        | Setup process watchdog...
18:03:32.958 |I| Core                           | RequestBuilder thread:8        | Run dispatcher...
18:03:32.963 |I| ProcessWatchdog                | WatchParentPid:92748:12        | Monitoring parent process PID:92748
18:03:33.062 |I| Core                           | RequestBuilder thread:8        | Get protocol session 'RdProjectModelSession'
18:03:33.068 |I| Core                           | RequestBuilder thread:8        | Msbuild session 'ProjectModelSessionHost' created
18:03:33.139 |I| ProjectModel                   | RequestBuilder thread:8        | Reloading 8 project(s) in 6 node(s)...
18:03:33.140 |I| ProjectModel                   | RequestBuilder thread:8        | Reason: WarmStartup
18:03:33.145 |I| Build                          | MSBuild LoggingService events queue pump: 30619839:14 | 빌드를 시작했습니다.
18:03:33.150 |I| BuildQueue                     | RequestBuilder thread:8        | Build queue: False
18:03:33.321 |I| ProjectModel                   | RequestBuilder thread:8        | Project 'Assembly-CSharp.csproj' has load-time sensitive targets: XamlMarkupCompilePass1
18:03:33.325 |I| BuildQueue                     | RequestBuilder thread:8        | Build immediately: Assembly-CSharp.csproj
18:03:33.327 |I| Build                          | RequestBuilder thread:8        | Start build 'Assembly-CSharp.csproj' with 1 target frameworks
