18:03:56.266 |I| Core                           | RequestBuilder thread:8        | MsBuild process with Id = 94180
18:03:56.268 |I| Core                           | RequestBuilder thread:8        | MsBuild location = E:\Dev_Work\VS2022\MSBuild\Current\Bin\amd64\MSBuild.exe
18:03:56.268 |I| Core                           | RequestBuilder thread:8        | ServerGC = False
18:03:56.268 |I| Core                           | RequestBuilder thread:8        | 
18:03:56.268 |I| Core                           | RequestBuilder thread:8        | Start ControllerTask...
18:03:56.269 |I| Core                           | RequestBuilder thread:8        | Detected version: 17.9
18:03:56.270 |I| Core                           | RequestBuilder thread:8        | Creating SocketWire with port = 61707
18:03:56.291 |I| Core                           | RequestBuilder thread:8        | Create protocol...
18:03:56.341 |I| Core                           | RequestBuilder thread:8        | Create MsBuildModel and advise for new sessions...
18:03:56.378 |I| Core                           | RequestBuilder thread:8        | Subscribe for changes...
18:03:56.378 |I| Core                           | RequestBuilder thread:8        | Setup process watchdog...
18:03:56.380 |I| Core                           | RequestBuilder thread:8        | Run dispatcher...
18:03:56.385 |I| ProcessWatchdog                | WatchParentPid:92444:12        | Monitoring parent process PID:92444
18:03:56.442 |I| Core                           | RequestBuilder thread:8        | Get protocol session 'RdProjectModelSession'
18:03:56.447 |I| Core                           | RequestBuilder thread:8        | Msbuild session 'ProjectModelSessionHost' created
18:03:56.514 |I| ProjectModel                   | RequestBuilder thread:8        | Reloading 8 project(s) in 6 node(s)...
18:03:56.515 |I| ProjectModel                   | RequestBuilder thread:8        | Reason: WarmStartup
18:03:56.519 |I| Build                          | MSBuild LoggingService events queue pump: 30619839:14 | 빌드를 시작했습니다.
18:03:56.524 |I| BuildQueue                     | RequestBuilder thread:8        | Build queue: False
18:03:56.690 |I| ProjectModel                   | RequestBuilder thread:8        | Project 'Assembly-CSharp-firstpass.csproj' has load-time sensitive targets: XamlMarkupCompilePass1
18:03:56.695 |I| BuildQueue                     | RequestBuilder thread:8        | Build immediately: Assembly-CSharp-firstpass.csproj
18:03:56.699 |I| Build                          | RequestBuilder thread:8        | Start build 'Assembly-CSharp-firstpass.csproj' with 1 target frameworks
18:03:56.702 |I| Build                          | RequestBuilder thread:8        | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;ResolvePackageDependenciesDesignTime;DesignTimeMarkupCompilation;Compile;CoreCompile;XamlMarkupCompilePass1
18:03:56.705 |I| ProjectModel                   | RequestBuilder thread:8        | Project 'Assembly-CSharp.csproj' has load-time sensitive targets: XamlMarkupCompilePass1
18:03:56.705 |I| BuildQueue                     | RequestBuilder thread:8        | Build immediately: Assembly-CSharp.csproj
18:03:56.705 |I| Build                          | RequestBuilder thread:8        | Start build 'Assembly-CSharp.csproj' with 1 target frameworks
18:03:56.706 |I| Build                          | RequestBuilder thread:8        | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;ResolvePackageDependenciesDesignTime;DesignTimeMarkupCompilation;Compile;CoreCompile;XamlMarkupCompilePass1
18:03:56.707 |I| ProjectModel                   | RequestBuilder thread:8        | Project 'Assembly-CSharp-Editor-firstpass.csproj' has load-time sensitive targets: XamlMarkupCompilePass1
18:03:56.707 |I| BuildQueue                     | RequestBuilder thread:8        | Build immediately: Assembly-CSharp-Editor-firstpass.csproj
18:03:56.707 |I| Build                          | RequestBuilder thread:8        | Start build 'Assembly-CSharp-Editor-firstpass.csproj' with 1 target frameworks
18:03:56.837 |I| Build                          | RequestBuilder thread:8        | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;ResolvePackageDependenciesDesignTime;DesignTimeMarkupCompilation;Compile;CoreCompile;XamlMarkupCompilePass1
18:03:56.837 |I| ProjectModel                   | RequestBuilder thread:8        | Project 'JetBrains.Frontend.2022.2.csproj' has load-time sensitive targets: XamlMarkupCompilePass1
18:03:56.837 |I| BuildQueue                     | RequestBuilder thread:8        | Build immediately: JetBrains.Frontend.2022.2.csproj
18:03:56.837 |I| Build                          | RequestBuilder thread:8        | Start build 'JetBrains.Frontend.2022.2.csproj' with 1 target frameworks
18:03:56.961 |I| Build                          | RequestBuilder thread:8        | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;ResolvePackageDependenciesDesignTime;DesignTimeMarkupCompilation;Compile;CoreCompile;XamlMarkupCompilePass1
18:03:56.963 |I| ProjectModel                   | RequestBuilder thread:8        | Project 'JetBrains.Frontend.2019.4.csproj' has load-time sensitive targets: XamlMarkupCompilePass1
18:03:56.963 |I| BuildQueue                     | RequestBuilder thread:8        | Build immediately: JetBrains.Frontend.2019.4.csproj
18:03:56.963 |I| Build                          | RequestBuilder thread:8        | Start build 'JetBrains.Frontend.2019.4.csproj' with 1 target frameworks
18:03:56.963 |I| Build                          | RequestBuilder thread:8        | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;ResolvePackageDependenciesDesignTime;DesignTimeMarkupCompilation;Compile;CoreCompile;XamlMarkupCompilePass1
18:03:56.963 |I| ProjectModel                   | RequestBuilder thread:8        | Project 'CodeStage.Maintainer.Editor.csproj' has load-time sensitive targets: XamlMarkupCompilePass1
18:03:56.963 |I| BuildQueue                     | RequestBuilder thread:8        | Build immediately: CodeStage.Maintainer.Editor.csproj
18:03:56.963 |I| Build                          | RequestBuilder thread:8        | Start build 'CodeStage.Maintainer.Editor.csproj' with 1 target frameworks
18:03:56.966 |I| Build                          | :20                            | Finish build part [1/1] for project 'Assembly-CSharp-firstpass.csproj': Success
18:03:56.966 |I| Build                          | :20                            | Finish build project 'Assembly-CSharp-firstpass.csproj': Success
18:03:57.108 |I| Build                          | RequestBuilder thread:8        | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;ResolvePackageDependenciesDesignTime;DesignTimeMarkupCompilation;Compile;CoreCompile;XamlMarkupCompilePass1
18:03:57.108 |I| Build                          | :7                             | Finish build part [1/1] for project 'JetBrains.Frontend.2022.2.csproj': Success
18:03:57.108 |I| Build                          | :7                             | Finish build project 'JetBrains.Frontend.2022.2.csproj': Success
18:03:57.108 |I| ProjectModel                   | RequestBuilder thread:8        | Project 'JetBrains.Frontend.2020.2.csproj' has load-time sensitive targets: XamlMarkupCompilePass1
18:03:57.108 |I| BuildQueue                     | RequestBuilder thread:8        | Build immediately: JetBrains.Frontend.2020.2.csproj
18:03:57.108 |I| Build                          | RequestBuilder thread:8        | Start build 'JetBrains.Frontend.2020.2.csproj' with 1 target frameworks
18:03:57.109 |I| Build                          | RequestBuilder thread:8        | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;ResolvePackageDependenciesDesignTime;DesignTimeMarkupCompilation;Compile;CoreCompile;XamlMarkupCompilePass1
18:03:57.109 |I| ProjectModel                   | RequestBuilder thread:8        | Project 'JetBrains.Frontend.2021.2.csproj' has load-time sensitive targets: XamlMarkupCompilePass1
18:03:57.109 |I| BuildQueue                     | RequestBuilder thread:8        | Build immediately: JetBrains.Frontend.2021.2.csproj
18:03:57.109 |I| Build                          | RequestBuilder thread:8        | Start build 'JetBrains.Frontend.2021.2.csproj' with 1 target frameworks
18:03:57.110 |I| Build                          | RequestBuilder thread:8        | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;ResolvePackageDependenciesDesignTime;DesignTimeMarkupCompilation;Compile;CoreCompile;XamlMarkupCompilePass1
18:03:57.275 |I| Build                          | :7                             | Finish build part [1/1] for project 'CodeStage.Maintainer.Editor.csproj': Success
18:03:57.275 |I| Build                          | :17                            | Finish build part [1/1] for project 'JetBrains.Frontend.2020.2.csproj': Success
18:03:57.275 |I| Build                          | :7                             | Finish build project 'CodeStage.Maintainer.Editor.csproj': Success
18:03:57.275 |I| Build                          | :17                            | Finish build project 'JetBrains.Frontend.2020.2.csproj': Success
18:03:57.289 |W| ProjectModel                   | :7                             | Cannot bind project. Attempt 1. Exception: 컬렉션이 수정되었습니다. 열거 작업이 실행되지 않을 수도 있습니다.
18:03:57.324 |I| Build                          | :15                            | Finish build part [1/1] for project 'Assembly-CSharp-Editor-firstpass.csproj': Success
18:03:57.324 |I| Build                          | :15                            | Finish build project 'Assembly-CSharp-Editor-firstpass.csproj': Success
18:03:57.466 |I| Build                          | :16                            | Finish build part [1/1] for project 'JetBrains.Frontend.2019.4.csproj': Success
18:03:57.466 |I| Build                          | :16                            | Finish build project 'JetBrains.Frontend.2019.4.csproj': Success
18:03:57.535 |I| Build                          | :4                             | Finish build part [1/1] for project 'Assembly-CSharp.csproj': Success
18:03:57.535 |I| Build                          | :4                             | Finish build project 'Assembly-CSharp.csproj': Success
18:03:57.611 |I| Build                          | :5                             | Finish build part [1/1] for project 'JetBrains.Frontend.2021.2.csproj': Success
18:03:57.611 |I| Build                          | :5                             | Finish build project 'JetBrains.Frontend.2021.2.csproj': Success
18:03:57.645 |I| Build                          | MSBuild LoggingService events queue pump: 30619839:14 | 빌드했습니다.
18:03:57.646 |I| ProjectModel                   | RequestBuilder thread:8        | Reloading has finished, statistic: 
	Total: 1.12 sec
	Binding: 0.15 sec
	Evaluation: 0.56 sec
18:22:19.979 |I| Core                           | RequestBuilder thread:8        | Connection lost, kill msbuild
