22:41:51.984 |I| Core                           | RequestBuilder thread:8        | MsBuild process with Id = 68244
22:41:51.985 |I| Core                           | RequestBuilder thread:8        | MsBuild location = E:\Dev_Work\VS2022\MSBuild\Current\Bin\amd64\MSBuild.exe
22:41:51.985 |I| Core                           | RequestBuilder thread:8        | ServerGC = False
22:41:51.985 |I| Core                           | RequestBuilder thread:8        | 
22:41:51.985 |I| Core                           | RequestBuilder thread:8        | Start ControllerTask...
22:41:51.987 |I| Core                           | RequestBuilder thread:8        | Detected version: 17.9
22:41:51.988 |I| Core                           | RequestBuilder thread:8        | Creating SocketWire with port = 58365
22:41:52.011 |I| Core                           | RequestBuilder thread:8        | Create protocol...
22:41:52.064 |I| Core                           | RequestBuilder thread:8        | Create MsBuildModel and advise for new sessions...
22:41:52.097 |I| Core                           | RequestBuilder thread:8        | Subscribe for changes...
22:41:52.098 |I| Core                           | RequestBuilder thread:8        | Setup process watchdog...
22:41:52.100 |I| Core                           | RequestBuilder thread:8        | Run dispatcher...
22:41:52.105 |I| ProcessWatchdog                | WatchParentPid:67972:12        | Monitoring parent process PID:67972
22:41:52.203 |I| Core                           | RequestBuilder thread:8        | Get protocol session 'RdProjectModelSession'
22:41:52.208 |I| Core                           | RequestBuilder thread:8        | Msbuild session 'ProjectModelSessionHost' created
22:41:52.285 |I| ProjectModel                   | RequestBuilder thread:8        | Reloading 8 project(s) in 6 node(s)...
22:41:52.286 |I| ProjectModel                   | RequestBuilder thread:8        | Reason: ColdStartup
22:41:52.290 |I| Build                          | MSBuild LoggingService events queue pump: 30619839:14 | 빌드를 시작했습니다.
22:41:52.297 |I| BuildQueue                     | RequestBuilder thread:8        | Build queue: False
22:41:52.489 |I| ProjectModel                   | RequestBuilder thread:8        | Project 'Assembly-CSharp-Editor-firstpass.csproj' has load-time sensitive targets: XamlMarkupCompilePass1
22:41:52.493 |I| BuildQueue                     | RequestBuilder thread:8        | Build immediately: Assembly-CSharp-Editor-firstpass.csproj
22:41:52.497 |I| Build                          | RequestBuilder thread:8        | Start build 'Assembly-CSharp-Editor-firstpass.csproj' with 1 target frameworks
22:41:52.501 |I| Build                          | RequestBuilder thread:8        | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;ResolvePackageDependenciesDesignTime;DesignTimeMarkupCompilation;Compile;CoreCompile;XamlMarkupCompilePass1
22:41:52.505 |I| ProjectModel                   | RequestBuilder thread:8        | Project 'JetBrains.Frontend.2019.4.csproj' has load-time sensitive targets: XamlMarkupCompilePass1
22:41:52.505 |I| BuildQueue                     | RequestBuilder thread:8        | Build immediately: JetBrains.Frontend.2019.4.csproj
22:41:52.505 |I| Build                          | RequestBuilder thread:8        | Start build 'JetBrains.Frontend.2019.4.csproj' with 1 target frameworks
22:41:52.506 |I| Build                          | RequestBuilder thread:8        | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;ResolvePackageDependenciesDesignTime;DesignTimeMarkupCompilation;Compile;CoreCompile;XamlMarkupCompilePass1
22:41:52.506 |I| ProjectModel                   | RequestBuilder thread:8        | Project 'Assembly-CSharp-firstpass.csproj' has load-time sensitive targets: XamlMarkupCompilePass1
22:41:52.506 |I| BuildQueue                     | RequestBuilder thread:8        | Build immediately: Assembly-CSharp-firstpass.csproj
