18:14:05.587 |I| Core                           | RequestBuilder thread:8        | MsBuild process with Id = 102848
18:14:05.589 |I| Core                           | RequestBuilder thread:8        | MsBuild location = E:\Dev_Work\VS2022\MSBuild\Current\Bin\amd64\MSBuild.exe
18:14:05.589 |I| Core                           | RequestBuilder thread:8        | ServerGC = False
18:14:05.589 |I| Core                           | RequestBuilder thread:8        | 
18:14:05.589 |I| Core                           | RequestBuilder thread:8        | Start ControllerTask...
18:14:05.592 |I| Core                           | RequestBuilder thread:8        | Detected version: 17.9
18:14:05.593 |I| Core                           | RequestBuilder thread:8        | Creating SocketWire with port = 63930
18:14:05.620 |I| Core                           | RequestBuilder thread:8        | Create protocol...
18:14:05.685 |I| Core                           | RequestBuilder thread:8        | Create MsBuildModel and advise for new sessions...
18:14:05.728 |I| Core                           | RequestBuilder thread:8        | Subscribe for changes...
18:14:05.730 |I| Core                           | RequestBuilder thread:8        | Setup process watchdog...
18:14:05.733 |I| Core                           | RequestBuilder thread:8        | Run dispatcher...
18:14:05.738 |I| ProcessWatchdog                | WatchParentPid:100396:12       | Monitoring parent process PID:100396
18:14:05.823 |I| Core                           | RequestBuilder thread:8        | Get protocol session 'RdProjectModelSession'
18:14:05.829 |I| Core                           | RequestBuilder thread:8        | Msbuild session 'ProjectModelSessionHost' created
18:14:05.949 |I| ProjectModel                   | RequestBuilder thread:8        | Reloading 8 project(s) in 6 node(s)...
18:14:05.950 |I| ProjectModel                   | RequestBuilder thread:8        | Reason: ColdStartup
18:14:05.956 |I| Build                          | MSBuild LoggingService events queue pump: 30619839:14 | 빌드를 시작했습니다.
18:14:05.964 |I| BuildQueue                     | RequestBuilder thread:8        | Build queue: False
18:14:06.240 |I| ProjectModel                   | RequestBuilder thread:8        | Project 'Assembly-CSharp.csproj' has load-time sensitive targets: XamlMarkupCompilePass1
18:14:06.246 |I| BuildQueue                     | RequestBuilder thread:8        | Build immediately: Assembly-CSharp.csproj
18:14:06.252 |I| Build                          | RequestBuilder thread:8        | Start build 'Assembly-CSharp.csproj' with 1 target frameworks
18:14:06.256 |I| Build                          | RequestBuilder thread:8        | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;ResolvePackageDependenciesDesignTime;DesignTimeMarkupCompilation;Compile;CoreCompile;XamlMarkupCompilePass1
18:14:06.262 |I| ProjectModel                   | RequestBuilder thread:8        | Project 'Assembly-CSharp-Editor-firstpass.csproj' has load-time sensitive targets: XamlMarkupCompilePass1
18:14:06.262 |I| BuildQueue                     | RequestBuilder thread:8        | Build immediately: Assembly-CSharp-Editor-firstpass.csproj
18:14:06.262 |I| Build                          | RequestBuilder thread:8        | Start build 'Assembly-CSharp-Editor-firstpass.csproj' with 1 target frameworks
18:14:06.264 |I| Build                          | RequestBuilder thread:8        | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;ResolvePackageDependenciesDesignTime;DesignTimeMarkupCompilation;Compile;CoreCompile;XamlMarkupCompilePass1
18:14:06.264 |I| ProjectModel                   | RequestBuilder thread:8        | Project 'JetBrains.Frontend.2022.2.csproj' has load-time sensitive targets: XamlMarkupCompilePass1
18:14:06.264 |I| BuildQueue                     | RequestBuilder thread:8        | Build immediately: JetBrains.Frontend.2022.2.csproj
18:14:06.265 |I| Build                          | RequestBuilder thread:8        | Start build 'JetBrains.Frontend.2022.2.csproj' with 1 target frameworks
18:14:06.442 |I| Build                          | RequestBuilder thread:8        | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;ResolvePackageDependenciesDesignTime;DesignTimeMarkupCompilation;Compile;CoreCompile;XamlMarkupCompilePass1
18:14:06.442 |I| ProjectModel                   | RequestBuilder thread:8        | Project 'JetBrains.Frontend.2019.4.csproj' has load-time sensitive targets: XamlMarkupCompilePass1
18:14:06.442 |I| BuildQueue                     | RequestBuilder thread:8        | Build immediately: JetBrains.Frontend.2019.4.csproj
18:14:06.442 |I| Build                          | RequestBuilder thread:8        | Start build 'JetBrains.Frontend.2019.4.csproj' with 1 target frameworks
18:14:06.595 |I| Build                          | RequestBuilder thread:8        | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;ResolvePackageDependenciesDesignTime;DesignTimeMarkupCompilation;Compile;CoreCompile;XamlMarkupCompilePass1
18:14:06.595 |I| ProjectModel                   | RequestBuilder thread:8        | Project 'CodeStage.Maintainer.Editor.csproj' has load-time sensitive targets: XamlMarkupCompilePass1
18:14:06.595 |I| BuildQueue                     | RequestBuilder thread:8        | Build immediately: CodeStage.Maintainer.Editor.csproj
18:14:06.595 |I| Build                          | RequestBuilder thread:8        | Start build 'CodeStage.Maintainer.Editor.csproj' with 1 target frameworks
18:14:06.774 |I| Build                          | RequestBuilder thread:8        | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;ResolvePackageDependenciesDesignTime;DesignTimeMarkupCompilation;Compile;CoreCompile;XamlMarkupCompilePass1
18:14:06.774 |I| ProjectModel                   | RequestBuilder thread:8        | Project 'Assembly-CSharp-firstpass.csproj' has load-time sensitive targets: XamlMarkupCompilePass1
18:14:06.774 |I| BuildQueue                     | RequestBuilder thread:8        | Build immediately: Assembly-CSharp-firstpass.csproj
18:14:06.774 |I| Build                          | RequestBuilder thread:8        | Start build 'Assembly-CSharp-firstpass.csproj' with 1 target frameworks
18:14:06.775 |I| Build                          | RequestBuilder thread:8        | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;ResolvePackageDependenciesDesignTime;DesignTimeMarkupCompilation;Compile;CoreCompile;XamlMarkupCompilePass1
18:14:06.775 |I| ProjectModel                   | RequestBuilder thread:8        | Project 'JetBrains.Frontend.2020.2.csproj' has load-time sensitive targets: XamlMarkupCompilePass1
18:14:06.776 |I| BuildQueue                     | RequestBuilder thread:8        | Build immediately: JetBrains.Frontend.2020.2.csproj
18:14:06.776 |I| Build                          | RequestBuilder thread:8        | Start build 'JetBrains.Frontend.2020.2.csproj' with 1 target frameworks
18:14:06.976 |I| Build                          | RequestBuilder thread:8        | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;ResolvePackageDependenciesDesignTime;DesignTimeMarkupCompilation;Compile;CoreCompile;XamlMarkupCompilePass1
18:14:06.979 |I| ProjectModel                   | RequestBuilder thread:8        | Project 'JetBrains.Frontend.2021.2.csproj' has load-time sensitive targets: XamlMarkupCompilePass1
18:14:06.979 |I| BuildQueue                     | RequestBuilder thread:8        | Build immediately: JetBrains.Frontend.2021.2.csproj
18:14:06.979 |I| Build                          | RequestBuilder thread:8        | Start build 'JetBrains.Frontend.2021.2.csproj' with 1 target frameworks
18:14:06.979 |I| Build                          | RequestBuilder thread:8        | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;ResolvePackageDependenciesDesignTime;DesignTimeMarkupCompilation;Compile;CoreCompile;XamlMarkupCompilePass1
18:14:06.982 |I| Build                          | :22                            | Finish build part [1/1] for project 'Assembly-CSharp-Editor-firstpass.csproj': Success
18:14:06.982 |I| Build                          | :22                            | Finish build project 'Assembly-CSharp-Editor-firstpass.csproj': Success
18:14:07.194 |I| Build                          | :4                             | Finish build part [1/1] for project 'JetBrains.Frontend.2020.2.csproj': Success
18:14:07.194 |I| Build                          | :4                             | Finish build project 'JetBrains.Frontend.2020.2.csproj': Success
18:14:07.194 |I| Build                          | :20                            | Finish build part [1/1] for project 'JetBrains.Frontend.2022.2.csproj': Success
18:14:07.194 |I| Build                          | :20                            | Finish build project 'JetBrains.Frontend.2022.2.csproj': Success
18:14:07.219 |I| Build                          | :7                             | Finish build part [1/1] for project 'JetBrains.Frontend.2019.4.csproj': Success
18:14:07.219 |I| Build                          | :7                             | Finish build project 'JetBrains.Frontend.2019.4.csproj': Success
18:14:07.493 |I| Build                          | :5                             | Finish build part [1/1] for project 'Assembly-CSharp.csproj': Success
18:14:07.493 |I| Build                          | :5                             | Finish build project 'Assembly-CSharp.csproj': Success
18:14:07.571 |I| Build                          | :18                            | Finish build part [1/1] for project 'CodeStage.Maintainer.Editor.csproj': Success
18:14:07.571 |I| Build                          | :18                            | Finish build project 'CodeStage.Maintainer.Editor.csproj': Success
18:14:07.658 |I| Build                          | :5                             | Finish build part [1/1] for project 'Assembly-CSharp-firstpass.csproj': Success
18:14:07.658 |I| Build                          | :5                             | Finish build project 'Assembly-CSharp-firstpass.csproj': Success
18:14:07.669 |I| Build                          | :18                            | Finish build part [1/1] for project 'JetBrains.Frontend.2021.2.csproj': Success
18:14:07.669 |I| Build                          | :18                            | Finish build project 'JetBrains.Frontend.2021.2.csproj': Success
18:14:08.050 |I| Build                          | MSBuild LoggingService events queue pump: 30619839:14 | 빌드했습니다.
18:14:08.051 |I| ProjectModel                   | RequestBuilder thread:8        | Reloading has finished, statistic: 
	Total: 2.09 sec
	Binding: 0.15 sec
	Evaluation: 0.70 sec
18:21:56.512 |I| Core                           | RequestBuilder thread:8        | Connection lost, kill msbuild
