18:19:55.165 |I| Core                           | RequestBuilder thread:8        | MsBuild process with Id = 42320
18:19:55.167 |I| Core                           | RequestBuilder thread:8        | MsBuild location = E:\Dev_Work\VS2022\MSBuild\Current\Bin\amd64\MSBuild.exe
18:19:55.167 |I| Core                           | RequestBuilder thread:8        | ServerGC = False
18:19:55.167 |I| Core                           | RequestBuilder thread:8        | 
18:19:55.167 |I| Core                           | RequestBuilder thread:8        | Start ControllerTask...
18:19:55.169 |I| Core                           | RequestBuilder thread:8        | Detected version: 17.9
18:19:55.170 |I| Core                           | RequestBuilder thread:8        | Creating SocketWire with port = 49838
18:19:55.201 |I| Core                           | RequestBuilder thread:8        | Create protocol...
18:19:55.274 |I| Core                           | RequestBuilder thread:8        | Create MsBuildModel and advise for new sessions...
18:19:55.321 |I| Core                           | RequestBuilder thread:8        | Subscribe for changes...
18:19:55.323 |I| Core                           | RequestBuilder thread:8        | Setup process watchdog...
18:19:55.325 |I| Core                           | RequestBuilder thread:8        | Run dispatcher...
18:19:55.332 |I| ProcessWatchdog                | WatchParentPid:106508:12       | Monitoring parent process PID:106508
18:19:55.437 |I| Core                           | RequestBuilder thread:8        | Get protocol session 'RdProjectModelSession'
18:19:55.444 |I| Core                           | RequestBuilder thread:8        | Msbuild session 'ProjectModelSessionHost' created
18:19:55.539 |I| ProjectModel                   | RequestBuilder thread:8        | Reloading 8 project(s) in 6 node(s)...
18:19:55.540 |I| ProjectModel                   | RequestBuilder thread:8        | Reason: ColdStartup
18:19:55.546 |I| Build                          | MSBuild LoggingService events queue pump: 30619839:14 | 빌드를 시작했습니다.
18:19:55.550 |I| BuildQueue                     | RequestBuilder thread:8        | Build queue: False
18:19:55.756 |I| ProjectModel                   | RequestBuilder thread:8        | Project 'Assembly-CSharp-firstpass.csproj' has load-time sensitive targets: XamlMarkupCompilePass1
18:19:55.761 |I| BuildQueue                     | RequestBuilder thread:8        | Build immediately: Assembly-CSharp-firstpass.csproj
18:19:55.765 |I| Build                          | RequestBuilder thread:8        | Start build 'Assembly-CSharp-firstpass.csproj' with 1 target frameworks
18:19:55.768 |I| Build                          | RequestBuilder thread:8        | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;ResolvePackageDependenciesDesignTime;DesignTimeMarkupCompilation;Compile;CoreCompile;XamlMarkupCompilePass1
18:19:55.771 |I| ProjectModel                   | RequestBuilder thread:8        | Project 'JetBrains.Frontend.2019.4.csproj' has load-time sensitive targets: XamlMarkupCompilePass1
18:19:55.773 |I| BuildQueue                     | RequestBuilder thread:8        | Build immediately: JetBrains.Frontend.2019.4.csproj
18:19:55.773 |I| Build                          | RequestBuilder thread:8        | Start build 'JetBrains.Frontend.2019.4.csproj' with 1 target frameworks
18:19:55.774 |I| Build                          | RequestBuilder thread:8        | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;ResolvePackageDependenciesDesignTime;DesignTimeMarkupCompilation;Compile;CoreCompile;XamlMarkupCompilePass1
18:19:55.774 |I| ProjectModel                   | RequestBuilder thread:8        | Project 'JetBrains.Frontend.2022.2.csproj' has load-time sensitive targets: XamlMarkupCompilePass1
18:19:55.774 |I| BuildQueue                     | RequestBuilder thread:8        | Build immediately: JetBrains.Frontend.2022.2.csproj
18:19:55.774 |I| Build                          | RequestBuilder thread:8        | Start build 'JetBrains.Frontend.2022.2.csproj' with 1 target frameworks
18:19:55.951 |I| Build                          | RequestBuilder thread:8        | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;ResolvePackageDependenciesDesignTime;DesignTimeMarkupCompilation;Compile;CoreCompile;XamlMarkupCompilePass1
18:19:55.951 |I| ProjectModel                   | RequestBuilder thread:8        | Project 'CodeStage.Maintainer.Editor.csproj' has load-time sensitive targets: XamlMarkupCompilePass1
18:19:55.951 |I| BuildQueue                     | RequestBuilder thread:8        | Build immediately: CodeStage.Maintainer.Editor.csproj
18:19:55.951 |I| Build                          | RequestBuilder thread:8        | Start build 'CodeStage.Maintainer.Editor.csproj' with 1 target frameworks
18:19:56.121 |I| Build                          | RequestBuilder thread:8        | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;ResolvePackageDependenciesDesignTime;DesignTimeMarkupCompilation;Compile;CoreCompile;XamlMarkupCompilePass1
18:19:56.121 |I| ProjectModel                   | RequestBuilder thread:8        | Project 'Assembly-CSharp.csproj' has load-time sensitive targets: XamlMarkupCompilePass1
18:19:56.121 |I| BuildQueue                     | RequestBuilder thread:8        | Build immediately: Assembly-CSharp.csproj
18:19:56.121 |I| Build                          | RequestBuilder thread:8        | Start build 'Assembly-CSharp.csproj' with 1 target frameworks
18:19:56.125 |I| Build                          | RequestBuilder thread:8        | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;ResolvePackageDependenciesDesignTime;DesignTimeMarkupCompilation;Compile;CoreCompile;XamlMarkupCompilePass1
18:19:56.125 |I| ProjectModel                   | RequestBuilder thread:8        | Project 'Assembly-CSharp-Editor-firstpass.csproj' has load-time sensitive targets: XamlMarkupCompilePass1
18:19:56.125 |I| BuildQueue                     | RequestBuilder thread:8        | Build immediately: Assembly-CSharp-Editor-firstpass.csproj
18:19:56.125 |I| Build                          | RequestBuilder thread:8        | Start build 'Assembly-CSharp-Editor-firstpass.csproj' with 1 target frameworks
18:19:56.127 |I| Build                          | RequestBuilder thread:8        | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;ResolvePackageDependenciesDesignTime;DesignTimeMarkupCompilation;Compile;CoreCompile;XamlMarkupCompilePass1
18:19:56.128 |I| Build                          | :17                            | Finish build part [1/1] for project 'Assembly-CSharp-firstpass.csproj': Success
18:19:56.128 |I| Build                          | :17                            | Finish build project 'Assembly-CSharp-firstpass.csproj': Success
18:19:56.355 |I| Build                          | :5                             | Finish build part [1/1] for project 'CodeStage.Maintainer.Editor.csproj': Success
18:19:56.355 |I| Build                          | :5                             | Finish build project 'CodeStage.Maintainer.Editor.csproj': Success
18:19:56.355 |I| ProjectModel                   | RequestBuilder thread:8        | Project 'JetBrains.Frontend.2020.2.csproj' has load-time sensitive targets: XamlMarkupCompilePass1
18:19:56.355 |I| BuildQueue                     | RequestBuilder thread:8        | Build immediately: JetBrains.Frontend.2020.2.csproj
18:19:56.355 |I| Build                          | RequestBuilder thread:8        | Start build 'JetBrains.Frontend.2020.2.csproj' with 1 target frameworks
18:19:56.356 |I| Build                          | RequestBuilder thread:8        | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;ResolvePackageDependenciesDesignTime;DesignTimeMarkupCompilation;Compile;CoreCompile;XamlMarkupCompilePass1
18:19:56.357 |I| ProjectModel                   | RequestBuilder thread:8        | Project 'JetBrains.Frontend.2021.2.csproj' has load-time sensitive targets: XamlMarkupCompilePass1
18:19:56.357 |I| BuildQueue                     | RequestBuilder thread:8        | Build immediately: JetBrains.Frontend.2021.2.csproj
18:19:56.357 |I| Build                          | RequestBuilder thread:8        | Start build 'JetBrains.Frontend.2021.2.csproj' with 1 target frameworks
18:19:56.642 |I| Build                          | RequestBuilder thread:8        | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;ResolvePackageDependenciesDesignTime;DesignTimeMarkupCompilation;Compile;CoreCompile;XamlMarkupCompilePass1
18:19:56.642 |I| Build                          | :15                            | Finish build part [1/1] for project 'Assembly-CSharp-Editor-firstpass.csproj': Success
18:19:56.642 |I| Build                          | :15                            | Finish build project 'Assembly-CSharp-Editor-firstpass.csproj': Success
18:19:56.642 |I| Build                          | :16                            | Finish build part [1/1] for project 'JetBrains.Frontend.2019.4.csproj': Success
18:19:56.642 |I| Build                          | :16                            | Finish build project 'JetBrains.Frontend.2019.4.csproj': Success
18:19:56.689 |I| Build                          | :7                             | Finish build part [1/1] for project 'JetBrains.Frontend.2021.2.csproj': Success
18:19:56.689 |I| Build                          | :7                             | Finish build project 'JetBrains.Frontend.2021.2.csproj': Success
18:19:56.772 |I| Build                          | :16                            | Finish build part [1/1] for project 'JetBrains.Frontend.2022.2.csproj': Success
18:19:56.772 |I| Build                          | :16                            | Finish build project 'JetBrains.Frontend.2022.2.csproj': Success
18:19:57.052 |I| Build                          | :4                             | Finish build part [1/1] for project 'JetBrains.Frontend.2020.2.csproj': Success
18:19:57.052 |I| Build                          | :4                             | Finish build project 'JetBrains.Frontend.2020.2.csproj': Success
18:19:57.120 |I| Build                          | :20                            | Finish build part [1/1] for project 'Assembly-CSharp.csproj': Success
18:19:57.120 |I| Build                          | :20                            | Finish build project 'Assembly-CSharp.csproj': Success
18:19:57.321 |I| Build                          | MSBuild LoggingService events queue pump: 30619839:14 | 빌드했습니다.
18:19:57.322 |I| ProjectModel                   | RequestBuilder thread:8        | Reloading has finished, statistic: 
	Total: 1.77 sec
	Binding: 0.18 sec
	Evaluation: 0.67 sec
19:07:06.246 |I| Core                           | RequestBuilder thread:8        | Connection lost, kill msbuild
